,data size,granules number,relation type,ksi,accuracy,recall,precision,noise percentage
0,1000,50,t,0.05,1.0,1.0,1.0,0.0
1,1000,50,t,0.1,1.0,1.0,1.0,0.0
2,1000,50,t,0.15,1.0,1.0,1.0,0.0
3,1000,50,t,0.2,1.0,1.0,1.0,0.0
4,1000,50,t,0.25,1.0,1.0,1.0,0.0
5,1000,50,t,0.3,1.0,1.0,1.0,0.0
6,1000,50,t,0.35,1.0,1.0,1.0,0.0
7,1000,50,t,0.4,1.0,1.0,1.0,0.0
8,1000,50,t,0.45,1.0,1.0,1.0,0.0
9,1000,50,t,0.5,1.0,1.0,1.0,0.0
10,1000,50,t,0.55,1.0,1.0,1.0,0.0
11,1000,50,t,0.6,1.0,1.0,1.0,0.0
12,1000,50,t,0.65,1.0,1.0,1.0,0.0
13,1000,50,t,0.7,1.0,1.0,1.0,0.0
14,1000,50,t,0.75,1.0,1.0,1.0,0.0
15,1000,50,t,0.8,1.0,1.0,1.0,0.0
16,1000,50,t,0.85,1.0,1.0,1.0,0.0
17,1000,50,t,0.9,1.0,1.0,1.0,0.0
18,1000,50,t,0.95,1.0,1.0,1.0,0.0
19,1000,50,e,0.05,1.0,1.0,1.0,0.0
20,1000,50,e,0.1,1.0,1.0,1.0,0.0
21,1000,50,e,0.15,1.0,1.0,1.0,0.0
22,1000,50,e,0.2,1.0,1.0,1.0,0.0
23,1000,50,e,0.25,1.0,1.0,1.0,0.0
24,1000,50,e,0.3,1.0,1.0,1.0,0.0
25,1000,50,e,0.35,1.0,1.0,1.0,0.0
26,1000,50,e,0.4,1.0,1.0,1.0,0.0
27,1000,50,e,0.45,1.0,1.0,1.0,0.0
28,1000,50,e,0.5,1.0,1.0,1.0,0.0
29,1000,50,e,0.55,1.0,1.0,1.0,0.0
30,1000,50,e,0.6,1.0,1.0,1.0,0.0
31,1000,50,e,0.65,1.0,1.0,1.0,0.0
32,1000,50,e,0.7,1.0,1.0,1.0,0.0
33,1000,50,e,0.75,1.0,1.0,1.0,0.0
34,1000,50,e,0.8,1.0,1.0,1.0,0.0
35,1000,50,e,0.85,1.0,1.0,1.0,0.0
36,1000,50,e,0.9,1.0,1.0,1.0,0.0
37,1000,50,e,0.95,1.0,1.0,1.0,0.0
38,1000,50,g,0.05,1.0,1.0,1.0,0.0
39,1000,50,g,0.1,1.0,1.0,1.0,0.0
40,1000,50,g,0.15,1.0,1.0,1.0,0.0
41,1000,50,g,0.2,1.0,1.0,1.0,0.0
42,1000,50,g,0.25,1.0,1.0,1.0,0.0
43,1000,50,g,0.3,1.0,1.0,1.0,0.0
44,1000,50,g,0.35,1.0,1.0,1.0,0.0
45,1000,50,g,0.4,1.0,1.0,1.0,0.0
46,1000,50,g,0.45,1.0,1.0,1.0,0.0
47,1000,50,g,0.5,1.0,1.0,1.0,0.0
48,1000,50,g,0.55,1.0,1.0,1.0,0.0
49,1000,50,g,0.6,1.0,1.0,1.0,0.0
50,1000,50,g,0.65,1.0,1.0,1.0,0.0
51,1000,50,g,0.7,1.0,1.0,1.0,0.0
52,1000,50,g,0.75,1.0,1.0,1.0,0.0
53,1000,50,g,0.8,1.0,1.0,1.0,0.0
54,1000,50,g,0.85,1.0,1.0,1.0,0.0
55,1000,50,g,0.9,1.0,1.0,1.0,0.0
56,1000,50,g,0.95,1.0,1.0,1.0,0.0
57,1000,100,t,0.05,0.948,0.6555555555555556,0.5732145647757462,0.0
